ID,Name,Concepticon_ID,Concepticon_Gloss,SrcId,Number
1_head,head,1256,HEAD,0003,1
2_haveaheadachev,have a headache (v),,,0004,2
3_stubbornpeoplesayhedoesnotlisten,stubborn/People say he does not listen.,,,0005,3
4_hairofthehead,hair of the head,2678,HAIR OR FUR,0007,4
5_brain,brain,1583,BRAIN,0009,5
6_forehead,forehead,123,FOREHEAD,0011,6
7_eye,eye,1248,EYE,0013,7
8_eyeball,eyeball,,,0014,8
9_eyebrow,eyebrow,1173,EYEBROW,0016,9
10_eyelash,eyelash,1540,EYELASH,0017,10
11_tears,tears,1651,TEAR (OF EYE),0019,11
12_blind,blind,1653,BLIND,0021,12
13_blind,blind,1653,BLIND,0022,13
14_nose,nose,1221,NOSE,0024,14
15_snivel,snivel,208,NASAL MUCUS (SNOT),0025,15
16_ear,ear,1247,EAR,0027,16
17_earwax,ear wax,32,EARWAX,0028,17
18_deaf,deaf,996,DEAF,0030,18
19_mouth,mouth,674,MOUTH,0032,19
20_lips,lips,478,LIP,0034,20
21_tongue,tongue,1205,TONGUE,0036,21
22_dumb,dumb,1492,DUMB,0038,22
23_tooth,tooth,1380,TOOTH,0040,23
24_decayv,decay (v),,,0041,24
25_spittle,spittle,1503,SALIVA,0043,25
26_saliva,saliva,1503,SALIVA,0044,26
27_phlegm,phlegm,3061,PHLEGM,0045,27
28_breathev,breathe (v),1407,BREATHE,0047,28
29_voice,voice,1363,VOICE,0049,29
30_cough,cough,,,0051,30
31_coughv,cough (v),879,COUGH,0053,31
32_sneeze,sneeze,,,0055,32
33_sneezev,sneeze (v),1621,SNEEZE,0057,33
34_yawn,yawn,1028,YAWN,0059,34
35_hiccupv,hiccup (v),162,HICCOUGH,0060,35
36_belchv,belch (v),2245,BELCH,0061,36
37_jawchin,"jaw, chin",1510,CHIN,0063,37
38_face,face,1560,FACE,0065,38
39_feelshamedv,feel shamed (v),1894,ASHAMED,0066,39
40_cheek,cheek,1730,CHEEK,0068,40
41_temple,temple,1604,TEMPLES,0069,41
42_mustache,mustache,1165,MOUSTACHE,0071,42
43_beard,beard,678,BEARD,0072,43
44_whiskers,whiskers,,,0073,44
45_neck,neck,1333,NECK,0075,45
46_neck,neck,1333,NECK,0076,46
47_nape,nape,1347,NAPE (OF NECK),0077,47
48_throat,throat,1346,THROAT,0079,48
49_throat,throat,1346,THROAT,0080,49
50_shoulder,shoulder,1482,SHOULDER,0082,50
51_shoulderblade,shoulder blade,172,SHOULDERBLADE,0083,51
52_arm,arm,1673,ARM,0085,52
53_elbow,elbow,981,ELBOW,0087,53
54_wrist,wrist,799,WRIST,0089,54
55_hand,hand,1277,HAND,0091,55
56_palm,palm,1183,PALM OF HAND,0093,56
57_finger,finger,1303,FINGER,0095,57
58_nail,nail,1258,FINGERNAIL,0101,58
59_fist,fist,1473,FIST,0103,59
