Grapheme	IPA	SCA	FREQUENCY	EXAMPLES
^	NULL		10044	ˊtɐ_ku;ˊkə_ze˞;ˊtɐ_ko_ˊji_ɕu;ˊtə_rnok;ˊtə_mto
$	NULL		9875	ˊtɐ_ku;ˊkə_ze˞;ˊtɐ_ko_ˊji_ɕu;ˊtə_rnok;ˊtə_mto
!	NULL		0	
.	NULL		5	ˊkə_n.nej;ˊkə_n.ke;tə22_mu44_na44_na44_la44_ji22_ji24_vi24.;ŋa44_wu22_mɜ44_ji22_sɨ44_tʰaŋ24.;wu22_mɜ44_tsʰun22_dzaŋ44_ta22_pao24.
|	NULL		13	ˉŋɐ_|moˀŋ;rŋa22_|mu44;wu22_koŋ44_|kǝ22_ktsi42;kə22_mɜ22_|ȵot44;wu44_koŋ33_|kǝ22_ɴbat33
ˈ	NULL		200	ɕiˈnɑnˈbubɑsi;ɕiˈnɑnˈbubɑsi;zɪˈkouʔ;jɑzˈpiɑt̚;kʰɯˈtsɯ˞t̚
ˌ	NULL		31	ˈtɕɑqpʰonɑˌlɛt̚;ɡəsˌkʰəˈtɕin;ɑˌləˈlʊəʔ;χɑˈwudufˌtʰæt̚;ˈkətʰekəˌtsʰɪɡə_əzɡən
“	NULL		1	wu22_mɜ44_kǝ22_“ŋa44_so44_ji44_ven”_na22_tɕɜs44
”	NULL		1	wu22_mɜ44_kǝ22_“ŋa44_so44_ji44_ven”_na22_tɕɜs44
…	NULL		0	
^...	NULL		11	...sǝ33_qe55;...wu44_pʃɔ22;...par55_ta33;...par44_ta33;...zǝ22
^..._	NULL		6	..._ɕes44;..._zɨ22_me44;..._zɨ22_me44;..._zɨ22_me44;..._ta44_pa22_o44
^-i$	i	I	3	-i;-i;-i
^-j$	j	J	2	-j;-j
^...kǝ_$	k ə	K E	1	...kǝ_
^tǝ-$	t ə	T E	1	tǝ-
^tə-$	t ə	T E	2	tə-;tə-
^wu-$	w u	W Y	0	
^_wu-$	w u	W Y	1	_wu-
11	¹¹	1	3	kə22_ndzə44_wu11_spɜ44;kə22_nəm22_cça11_ra44;kor11
22	²²	1	2857	kǝp22_gi44;kə22_pram44;ɟʝam22_kɨ44;ser22_po44;ləm22_kər44
²²	²²	1	0	
¹¹	¹¹	1	0	
22_$	²²	1	1	ta22_sa44_wu44_ra22_
22_…$	²²	1	1	...kǝ44_ma22_…
12	¹²	2	0	
13	¹³	2	2	ba13;kar13
14	¹⁴	2	0	
15	¹⁵	2	0	
23	²³	2	11	na44_tɕi23;sɑ22_zdem23;ɴbro23;ʔa23_rgja44_ᴺk‘ǝ33;wɑŋ23
24	²⁴	2	138	tǝ22_rȵje24;kʰǝ22_ɕna44_jɜ24_bjam22;ki24;kǝ22_ɟʝo24;kǝ22_mbru24
25	²⁵	2	0	
34	³⁴	2	11	ti34;te33_lop34;sɑ34_ʧʰɐ55;ka22_ŋge34;sa44_t‘a55_zgre34
35	³⁵	2	0	
45	⁴⁵	2	3	sa44_xje45;sʨɔ45;ska45_ʃne44
²³	²³	2	0	
²⁴	²⁴	2	0	
²⁵	²⁵	2	0	
³⁴	³⁴	2	0	
³⁵	³⁵	2	0	
¹²	¹²	2	0	
¹³	¹³	2	0	
¹⁴	¹⁴	2	0	
¹⁵	¹⁵	2	0	
⁴⁵	⁴⁵	2	0	
24_$	²⁴	2	0	
21	²¹	3	0	
31	³¹	3	0	
32	³²	3	0	
41	⁴¹	3	0	
42	⁴²	3	88	kǝ22_tɕʰjem42;ki22_pkam42;mə22_ŋam42_cçok44;kǝ22_ʂtsʰǝr42;sɜm22_scçan42
43	⁴³	3	20	tǝ22_mɲak43;tǝ22_mɲak43_mɒ22_rtsɨ44;tǝ22_mɲak43_mɒ22_rtsɨ44;tǝ22_mɲak43_ʤi44;kɑ22_mis43
51	⁵¹	3	3	ka-po51;kə-jam51;kə-jo51
52	⁵²	3	0	
53	⁵³	3	4	kɑ22_ɲi:53;kǝ33_ŋeɴ53;tǝ22_naɴ53;ʃkɔ44_tǝm53
54	⁵⁴	3	25	tǝ22_snam54;tǝ33_mɲak54_ku22_su44_ʤu33;kǝ22_sɒ44_kʃot54;dzɑ33_ji54;ro44_ro44_ri44_ʧhen54
²¹	²¹	3	0	
³²	³²	3	0	
³¹	³¹	3	0	
⁴²	⁴²	3	0	
⁴³	⁴³	3	0	
⁴¹	⁴¹	3	0	
⁵²	⁵²	3	0	
⁵³	⁵³	3	0	
⁵¹	⁵¹	3	0	
⁵⁴	⁵⁴	3	0	
51_$	⁵¹	3	1	tə-pʰə51_
