ID	Source_ID	Glottocode	Latitude	Longitude	Name	Short_Name
NyagrongMinyag	1	muya1239	30.932449	100.326871	Nyagrong Minyag (Ganzi Xinlong)	20xinl
GanziDanbarGyalrong	2	situ1238	31.060903	101.855001	rGyalrong (Ganzi Danba Badi Munashan)	06muna
JinchuanErkairGyalrong	3	shan1274	31.464691	101.341027	rGyalrong (Jinchuan Erkai)	28erka
JinchuanGuaninqiaorGyalrong	4	eree1240	31.639053	101.445432	rGyalrong (Jinchuan Guaninqiao Wobzi)	30wobz
LixianXuechengrGyalrong	5	lixi1238	31.617273	103.276061	rGyalrong (Lixian Xuecheng Jiamizhai)	48jiem
MaerkangBolarGyalrongA	6	maer1238	31.915985	102.212059	rGyalrong (Maerkang Bola (A))	51bola
MaerkangBolarGyalrongB	7	maer1238	31.915985	102.212059	rGyalrong (Maerkang Bola (B))	52bolb
MaerkangCaodengrGyalrong	8	tsho1240	32.209102	101.832718	rGyalrong (Maerkang Caodeng (B))	55caob
MaerkangJaphugrGyalrong	9	gdon1234	32.159653	102.159643	rGyalrong (Maerkang Japhug Shaerzong (B))	59shab
MaerkangSomanrGyalrong	10	maer1238	31.864114	102.484959	rGyalrong (Maerkang Soman)	65soma
