ID	SRCID	GLOSS	CONCEPTICON_GLOSS	CONCEPTICON_ID
83	0143	void feces (vi)		
84	0145	bladder	BLADDER	1746
85	0147	urine	URINE	1142
86	0149	urinate (v)		
87	0151	toilet	TOILET	219
88	0153	fart	FART	1159
89	0155	penis	PENIS	1222
90	0156	penis	PENIS	1222
91	0158	testicles	TESTICLES	797
92	0159	testicles	TESTICLES	797
93	0161	vulva	VULVA	1837
94	0163	thigh	THIGH	800
95	0165	knee	KNEE	1371
96	0167	leg	LEG	1297
97	0168	shin	SHIN	186
98	0169	calf	CALF	1989
99	0171	foot	FOOT	1301
100	0173	limp (v)	LIMP	366
101	0175	body	BODY	1480
102	0176	corpse	CORPSE	767
103	0178	hair of skin	HAIR (BODY)	189
104	0180	skin	SKIN	763
105	0182	birth-mark	BIRTHMARK	1751
106	0183	bruise	BRUISE	1148
107	0185	mole	MOLE	1907
108	0187	pockmark		
109	0189	a burn		
110	0192	pus	PUS	1808
111	0194	sweat		
112	0196	dirt	DIRT	25
113	0198	blood	BLOOD	946
114	0200	bone	BONE	1394
115	0201	marrow	MARROW	1835
116	0203	flesh	FLESH	2259
117	0205	strength	STRENGTH	202
118	0206	power (political)		
119	0208	look at (vt)	LOOK	1819
120	0209	see (vi)	SEE	1409
121	0211	smell it (v)	SMELL (PERCEIVE)	1586
122	0213	listen to (vt)	LISTEN	1608
123	0214	hear (vi)	HEAR	1408
124	0216	laugh (v)	LAUGH	1355
125	0218	cry, weep (v)	CRY	1839
126	0220	shout (v)	SHOUT	715
127	0223	clothing		
128	0224	cloths in general	CLOTHES	1895
129	0226	Tibetan cloth		
130	0227	sleeve	SLEEVE	2953
131	0232	clothe (v)		
132	0232a	wear (v)	WEAR	976
133	0234	dress sm stg (vt)	DRESS UP	814
134	0236	take off (vt)	TAKE OFF ONE'S CLOTHES	2326
135	0238	naked	NAKED	590
136	0240	hat	HAT	771
137	0242	umbrella	UMBRELLA	3105
138	0244	pagne		
139	0246	trousers	TROUSERS	809
140	0248	belt	BELT	772
141	0250	collar	COLLAR	2012
142	0252	shoe	SHOE	1381
143	0254	barefooted		
144	0256	cloth (n)	CLOTH	1616
145	0258	cotton	COTTON	1850
146	0260	flax		
147	0262	wool/wool (山羊毛)	WOOL	964
148	0264	fur	FUR	580
149	0265	tanned leather	LEATHER	629
150	0267	comb	COMB	1475
151	0269	ring (finger)	RING	1374
152	0271	necklace	NECKLACE	1961
153	0273	decorate (v)	DECORATE	1739
154	0275	scissors	SCISSORS	1328
155	0277	needle		
156	0279	thread	THREAD	1161
157	0281	sew (v)	SEW	1457
158	0284	food, food stuff	FOOD	256
159	0285	food, meal	MEAL	1526
160	0287	rice	RICE	926
161	0289	rice plant	RICE PLANT	2026
162	0291	wheat	WHEAT	1077
163	0293	barley	BARLEY	932
164	0295	grain	GRAIN	605
165	0298	bean, pea/bean, pea (蓲豆)	BEAN OR PEA	2574
166	0300	flour	FLOUR	1594
167	0301	wheat flour		
168	0302	Tsampa		
169	0304	potato	POTATO	593
170	0306	meat	MEAT	634
171	0308	onion	ONION	2366
172	0309	garlic	GARLIC	2368
173	0313	vegetable	VEGETABLES	924
174	0318	fruit	FRUIT	1507
175	0320	fruit of tree		
176	0322	seed	SEED	714
177	0324	fish	FISH	227
178	0326	egg	EGG	744
179	0328	salt	SALT	1274
180	0330	sugar	SUGAR	862
181	0332	honey	HONEY	942
182	0334	oil as food		
183	0335	petroleum	PETROLEUM	650
184	0337	grease		
185	0339	butter	BUTTER	1245
186	0340	cheese	CHEESE	1569
187	0342	milk	MILK	635
188	0343	yogurt		
189	0345	water	WATER	948
190	0347	tea	TEA	1373
191	0351	pap, rice-porridge		
192	0353	wine	WINE	1524
193	0354	liquor	LIQUOR	842
194	0356	get drunk (v)		
195	0358	tobacco	TOBACCO	974
196	0360	cook (vt)	COOK (SOMETHING)	1100
197	0361	have cooked (v)		
198	0361a	cook (n)	COOK (PERSON)	2315
199	0365	get roasted (vi)		
200	0366	fry (vt)	FRY	991
201	0367	have fried (vi)		
202	0369	boil (vt)	BOIL	2493
203	0370	get boiled (vi)		
204	0372	raw	RAW	1959
205	0374	ripe	RIPE	178
