ID	SRCID	GLOSS	CONCEPTICON_GLOSS	CONCEPTICON_ID
801	1431	animal	ANIMAL	619
802	1433	quadruped		
803	1434	beast		
804	1435	pack animal		
805	1436	livestock	LIVESTOCK	631
806	1438	bird	BIRD	937
807	1440	fish	FISH	227
808	1442	worm	WORM	1219
809	1444	dog	DOG	2009
810	1446	cat	CAT	1208
811	1447	lynx		
812	1448	wildcat	WILD CAT	2241
813	1450	horse	HORSE	615
814	1451	donkey	DONKEY	1862
815	1452	saddle	SADDLE	3065
816	1453	mule	MULE	890
817	1455	cattle	CATTLE	1153
818	1456	cattle	CATTLE	1153
819	1457	yak	YAK	2477
820	1458	female yak	FEMALE YAK	2479
821	1459	wild yak		
822	1460	dzo (ox x female yak)		
823	1462	sheep	SHEEP	1331
824	1463	bharal, blue sheep		
825	1464	argali sheep		
826	1466	goat	GOAT	1502
827	1468	pig	PIG	1337
828	1470	hen, cock		
829	1472	tiger	TIGER	846
830	1474	bear	BEAR	1820
831	1476	wolf	WOLF	522
832	1478	fox	FOX	1312
833	1480	deer	DEER	1936
834	1482	ape		
835	1483	monkey	MONKEY	1350
836	1485	rabbit	RABBIT	1136
837	1487	mouse	MOUSE	1491
838	1489	elephant	ELEPHANT	1290
839	1491	camel	CAMEL	1871
840	1493	bat	BAT	1793
841	1495	eagle	EAGLE	1905
842	1497	crane	CRANE	1830
843	1499	swallow	SWALLOW (BIRD)	3077
844	1500	little cuckoo		
845	1502	pigeon		
846	1503	pigeon		
847	1505	crow	CROW	913
848	1506	crow	CROW	913
849	1507	owl	OWL	735
850	1509	sparrow	SPARROW	1854
851	1511	butterfly	BUTTERFLY	1791
852	1513	ant	ANT	587
853	1515	spider	SPIDER	843
854	1517	honey-bee	BEE	665
855	1519	mosquito	MOSQUITO	1509
856	1521	fly		
857	1523	flea	FLEA	232
858	1525	louse	LOUSE	1392
859	1527	snake	SNAKE	730
860	1529	lizard	LIZARD	632
861	1530	frog	FROG	503
862	1532	horn		
863	1534	hair		
864	1535	mane	MANE	1918
865	1537	skin, fur	HAIR OR FUR	2678
866	1539	claw	CLAW	72
867	1540	hoof	HOOF	152
868	1542	tail	TAIL	1220
869	1543	tail (long)		
870	1545	beak	BEAK	73
871	1547	wing	WING	1257
872	1549	feather	FEATHER	1201
873	1551	scales of fish	SCALE	266
874	1552	scales of snake		
875	1554	nest	NEST	539
876	1556	fly (v)		
877	1558	swim (v)	SWIM	1439
878	1560	cry (v)		
879	1562	lay an egg (v)	LAY EGGS	2464
880	1564	raise (v)		
881	1567	shape		
882	1569	round	ROUND	1395
883	1570	round	ROUND	1395
884	1572	sharp	SHARP	1396
885	1574	blunt	BLUNT	379
886	1576	level and smooth	SMOOTH	1234
887	1577	flat	FLAT	1633
888	1578	flat	FLAT	1633
889	1580	hole	HOLE	1667
890	1582	hollow		
891	1584	straight	STRAIGHT	1404
892	1585	straight (adv)	STRAIGHT	1404
893	1587	line	LINE	1048
894	1589	marks		
895	1590	marks		
896	1592	corner	CORNER	192
897	1594	thing	THING	738
898	1596	big	BIG	1202
899	1598	tall	TALL	711
900	1600	little		
901	1602	fine (meshes)		
902	1604	large (meshes)		
903	1606	long	LONG	1203
904	1608	short	SHORT	1645
905	1610	thick (and round)		
906	1612	thin	THIN	2308
907	1613	lean		
908	1615	thick (and flat)		
909	1617	thin (and flat)		
910	1618	weak, lightly seasoned		
911	1620	color (of dying)		
912	1621	color (natural)		
913	1624	red	RED	156
914	1626	blue	BLUE	837
915	1628	yellow	YELLOW	1424
916	1630	green	GREEN	1425
917	1632	white	WHITE	1335
918	1633	gray		
919	1635	black	BLACK	163
920	1637	paint (v)	PAINT (SOMETHING)	3122
921	1639	dye it (v)	DYE	157
922	1641	sound, noise	SOUND OR NOISE	1811
923	1643	a smell		
924	1646	wild, rude	RUDE	1412
925	1647	bad-tempered/bad (quality)		
926	1649	gentle	GENTLE	1954
927	1651	kind		
928	1653	courageous		
929	1654	courageous		
930	1656	stingy/stingy (小气，小心眼)	STINGY	1774
931	1658	honest	HONEST	1120
932	1660	cunning	CUNNING	2335
933	1662	idle about (be v)	IDLE	2756
934	1663	lazy	LAZY	1564
935	1665	strong	STRONG	785
936	1666	strong (politically)		
937	1667	strong (quality)	STRONG	785
938	1669	weak	WEAK	1601
939	1670	weak (politically)		
940	1671	of bad quality		
941	1673	correct	CORRECT (RIGHT)	1725
942	1675	good [in general sense]		
943	1676	appropriate		
944	1677	of a good quality		
945	1678	famous		
946	1680	bad [in general sense]/bad (person)/bad		
947	1681	malicious		
948	1683	easy	EASY	686
949	1685	difficult	DIFFICULT	584
950	1687	dangerous		
951	1689	tight	TIGHT	3053
952	1691	loose	LOOSE	2506
953	1693	soft, gentle, smooth	SOFT	1856
954	1694	smooth	SMOOTH	1234
955	1696	coarse	COARSE	2151
956	1698	old	OLD	1229
957	1700	new	NEW	1231
958	1702	pretty, cute		
959	1703	beautiful	BEAUTIFUL	1427
960	1704	poor, pitiful	POOR	1674
961	1706	ugly	UGLY	1548
962	1708	clean	CLEAN	704
963	1710	dirty	DIRTY	1230
964	1712	hard	HARD	1884
965	1714	soft	SOFT	1856
966	1717	place		
967	1719	front		
968	1721	back		
969	1723	side	SIDE	682
970	1725	between	BETWEEN	689
971	1727	middle	MIDDLE	1093
972	1729	on		
973	1730	up	UP	1591
974	1731	upward		
975	1733	under		
976	1734	down	DOWN	1326
977	1735	down	DOWN	1326
978	1736	down	DOWN	1326
979	1737	down	DOWN	1326
980	1738	downward		
981	1740	inside	INSIDE	1606
982	1742	outside	OUTSIDE	762
983	1744	right	RIGHT	1019
984	1746	left	LEFT	244
985	1748	tip		
986	1749	edge, tip	EDGE	863
987	1750	edge, hem		
988	1752	surroundings		
989	1754	UP/DOWN		
990	1757	near	NEAR	1942
991	1758	near	NEAR	1942
992	1760	far	FAR	1406
993	1761	far	FAR	1406
994	1763	high	HIGH	1265
995	1764	high	HIGH	1265
996	1766	low	LOW	721
997	1768	deep	DEEP	1593
998	1770	shallow	SHALLOW	193
999	1772	wide	WIDE	1243
1000	1774	narrow	NARROW	1267
1001	1776	together	TOGETHER	2482
1002	1777	each other		
1003	1779	full	FULL	1429
1004	1781	empty	EMPTY	1624
1005	1783	direction		
1006	1785	east	EAST	1877
1007	1787	west	WEST	1817
1008	1789	south	SOUTH	1595
1009	1791	north	NORTH	1598
1010	1794	dawn	DAWN	729
1011	1795	dawn	DAWN	729
1012	1797	morning	MORNING	1339
1013	1799	noon	NOON	2490
1014	1801	daytime		
1015	1803	evening	EVENING	1629
1016	1805	night	NIGHT	1233
1017	1806	night/night (0-3AM)		
1018	1808	early	EARLY	672
1019	1810	late	LATE	477
1020	1812	now	NOW	1376
1021	1814	at once		
1022	1816	previously		
1023	1818	after	AFTER	1685
1024	1820	next	NEXT	1354
1025	1822	always	ALWAYS	1676
1026	1823	always	ALWAYS	1676
1027	1825	often	OFTEN	1852
1028	1827	sometimes	SOMETIMES	1544
1029	1829	today	TODAY	1283
1030	1831	yesterday	YESTERDAY	1174
1031	1833	tomorrow	TOMORROW	1329
1032	1834	the day after tomorrow	DAY AFTER TOMORROW	1179
1033	1836	everyday		
1034	1838	day		
1035	1839	date		
1036	1840	date		
1037	1842	week	WEEK	1469
1038	1844	month	MONTH	1370
1039	1846	year	YEAR	1226
1040	1847	calendar	CALENDAR	1967
1041	1849	age	AGE	1789
1042	1851	spring		
1043	1853	summer	SUMMER	1342
1044	1855	autumn	AUTUMN	1276
1045	1857	winter	WINTER	1471
1046	1859	around		
1047	1860	time to do		
1048	1861	I didn't have time to eat dinner yesterday evening.		
1049	1862	period	PERIOD	508
1050	1864	count	COUNT	1420
1051	1865	number	NUMBER	1356
1052	1866	number, figure	NUMBER	1356
1053	1867	number, figure	NUMBER	1356
1054	1869	one	ONE	1493
1055	1871	two	TWO	1498
1056	1873	three	THREE	492
1057	1875	four	FOUR	1500
1058	1877	five	FIVE	493
1059	1879	six	SIX	1703
1060	1881	seven	SEVEN	1704
1061	1883	eight	EIGHT	1705
1062	1885	nine	NINE	1483
1063	1887	ten	TEN	1515
1064	1889	eleven	ELEVEN	1706
1065	1891	twelve	TWELVE	1707
1066	1893	thirteen	THIRTEEN	1708
1067	1895	fourteen	FOURTEEN	2451
1068	1897	fifteen	FIFTEEN	1709
1069	1899	sixteen	SIXTEEN	2454
1070	1901	seventeen	SEVENTEEN	2453
1071	1903	eighteen	EIGHTEEN	1713
1072	1905	nineteen	NINETEEN	1714
1073	1907	twenty	TWENTY	1710
1074	1909	twenty one	TWENTY ONE	1734
1075	1911	twenty two	TWENTY TWO	3166
1076	1913	twenty three	TWENTY THREE	3165
1077	1921	thirty	THIRTY	1715
1078	1923	forty	FORTY	1716
1079	1925	fifty	FIFTY	1717
1080	1927	sixty	SIXTY	1718
1081	1929	seventy	SEVENTY	1721
1082	1931	eighty	EIGHTY	1722
1083	1933	ninety	NINETY	1724
1084	1935	hundred	HUNDRED	1634
1085	1937	two hundred	TWO HUNDRED	2676
1086	1939	three hundred		
1087	1941	thousand	THOUSAND	1843
1088	1943	two thousand		
1089	1945	three thousand		
1090	1947	ten thousand	TEN THOUSAND	2078
1091	1949	twenty thousand		
1092	1951	hundred thousand		
1093	1953	one million		
1094	1959	times		
1095	1961	times		
1096	1963	one by one		
1097	1964	order	ORDER	1128
1098	1966	first	FIRST	728
1099	1968	second	SECOND	1384
1100	1970	third	THIRD	1859
1101	1972	last		
1102	1974	alone	ALONE	1964
1103	1976	all	ALL	98
1104	1977	all	ALL	98
1105	1978	all	ALL	98
1106	1979	completely		
1107	1981	half	HALF	816
1108	1983	one third		
1109	1985	a quarter		
1110	1987	both		
1111	1989	measure (v)	MEASURE	1506
1112	1990	scale		
1113	1991	scale		
1114	1993	heavy	HEAVY	1210
1115	1995	light		
1116	1997	many, much	MANY	1198
1117	1999	few, little	A LITTLE	2924
1118	2001	increase (v)	INCREASE	1041
1119	2003	decrease (v)	DECREASE	2864
1120	2006	I, me		
1121	2008	we, us [plural]		
1122	2009	we, us [dual]		
1123	2011	you (sg.)		
1124	2013	you [plural]	YOU	1213
1125	2014	you two [dual]	YOU TWO	2111
1126	2016	he, him		
1127	2018	she, her		
1128	2020	they, them [plural]		
1129	2021	they two [dual]	THEY TWO	2635
1130	2023	oneself		
1131	2025	this	THIS	1214
1132	2027	that	THAT	78
1133	2029	this	THIS	1214
1134	2031	that, that... over there		
1135	2033	that, the		
1136	2034	like, in this way, this kind of		
1137	2035	that way, like that		
1138	2037	that way, like that		
1139	2039	here	HERE	136
1140	2041	there	THERE	1937
1141	2043	there	THERE	1937
1142	2045	this way, here		
1143	2047	that way/that way (north)/that way (east)/that way (south)		
1144	2049	that way, there		
1145	2051	who	WHO	1235
1146	2053	what	WHAT	1236
1147	2055	which	WHICH	727
1148	2057	how	HOW	1239
1149	2059	where	WHERE	1237
1150	2061	where	WHERE	1237
1151	2063	why	WHY	1270
1152	2065	when	WHEN	1238
1153	2067	some day		
1154	2069	how many?	HOW MANY	822
1155	2070	how many?	HOW MANY	822
1156	2071	how long?	HOW LONG	2338
1157	2072	how big?		
1158	2074	something		
1159	2076	some	SOME	1241
1160	2079	very much, very		
1161	2082	not--at all	NOT	1240
1162	2083	not--at all	NOT	1240
1163	2084	thoroughly		
1164	2087	This box is too big.		
1165	2090	Give me more.		
1166	2091	a bit		
1167	2092	Let's go a bit further.		
1168	2093	various		
1169	2095	exactly		
1170	2097	maybe		
1171	2098	perhaps	PERHAPS	2278
1172	2100	certainly		
1173	2101	certainly		
1174	2102	by all means		
1175	2104	suddenly	SUDDENLY	2920
1176	2105	suddenly	SUDDENLY	2920
1177	2106	secretly		
1178	2107	especially, intentionally		
1179	2108	with might and main		
1180	2110	again	AGAIN	204
1181	2111	again	AGAIN	204
1182	2113	yet, still		
1183	2114	yet, still		
1184	2116	a minute ago		
1185	2117	already	ALREADY	2576
1186	2119	each other		
1187	2121	if	IF	1459
1188	2124	to		
1189	2126	up to, till		
1190	2127	until now		
1191	2131	from	FROM	693
1192	2133	in	IN	1460
1193	2135	at, on	AT	1461
1194	2137	with	WITH	1340
1195	2139	and	AND	1577
1196	2141	of		
1197	2143	also		
1198	2145	-er than		
1199	2147	with, by means of	WITH	1340
1200	2149	only	ONLY	1580
1201	2153	except for		
1202	2154	only	ONLY	1580
1203	2156	be, is	BE	1579
1204	2158	not	NOT	1240
1205	2160	Do not		
1206	2161	Don't drink this water.		
1207	2162	Don't go.		
1208	2163	Don't come.		
1209	2164	Don't spit.		
1210	2166	(quotative particle)		
1211	2167	(He) said, "I come tomorrow."		
1212	2169	because	BECAUSE	1157
1213	2171	but, though		
1214	2172	but, though		
1215	2173	Although it rained, he showed up.		
1216	2175	make sme to do stg, order to (v)		
1217	2178	I made him to go.		
1218	2181	I want to take poultry.		
1219	2182	want something (v)		
1220	2185	be, is	BE	1579
1221	2187	there is no		
1222	2189	become (v)	BECOME	1990
1223	2190	He became mayor.		
1224	2191	become (v)	BECOME	1990
1225	2192	This tree grows high.		
1226	2194	It will get hotter.		
1227	2196	can		
1228	2197	can, know how to		
1229	2198	can, be able to manage		
1230	2199	may, be allowed to do		
1231	2200	Is it allowed nowadays to go to Sikkim via India?		
1232	2202	possess (v)		
1233	2204	need, be necessary		
1234	2206	same	SAME	200
1235	2208	similar	SIMILAR	1558
1236	2210	other	OTHER	197
1237	2212	different from		
1238	2213	different from		
1239	2214	different, separate		
1240	2216	for the sake of		
1241	2218	approximately		
1242	2219	like, as		
1243	2220	and so on		
1244	2223	similar	SIMILAR	1558
1245	2224	like, as		
1246	2225	As he says, …		
1247	2227	ought to		
1248	2228	I ought to go to Lhasa.		
1249	2230	please do it		
1250	2231	Please eat, please.		
1251	2233	Hello.		
1252	2235	Good-bye		
1253	2236	Good-bye		
1254	2238	Thank you		
1255	2240	Come here!		
1256	2242	Look!		
